Id,type,label,cluster_id,cluster_size,label_2,longitude,latitude,community_url,label_old,member_count,label_edited_count
sicklecelldisease_co-occurrence,community,Living with Sickle Cell Disease,,,Living with Sickle Cell Disease (108),40,-22.0,sicklecelldisease,Living with Sickle Cell Disease,108.0,Living with Sickle Cell Disease (108)
fierybones-ra_co-occurrence,community,FieryBones - Rheumatoid Arthritis (RA),,,FieryBones - RA Community (106),40,-23.0,fierybones-ra,FieryBones - RA Community,106.0,FieryBones - Rheumatoid Arthritis (RA) (106)
mga_co-occurrence,community,Myasthenia Gravis Association,,,Myasthenia Gravis Association (95),40,-24.0,mga,Myasthenia Gravis Association,95.0,Myasthenia Gravis Association (95)
c3g_co-occurrence,community,C3-Glomerulopathie (C3G) (Kidney),,,C (95),40,-25.0,c3g,C,95.0,C3-Glomerulopathie (C3G) (Kidney) (95)
pagets-support_co-occurrence,community,Paget’s Desease (Bones),,,Paget’s Support (90),40,-26.0,pagets-support,Paget’s Support,90.0,Paget’s Desease (Bones) (90)
living-with-lyme-disease-uk_co-occurrence,community,Living with Lyme Disease UK,,,Living with Lyme Disease UK (73),40,-27.0,living-with-lyme-disease-uk,Living with Lyme Disease UK,73.0,Living with Lyme Disease UK (73)
endometriosis-nz_co-occurrence,community,Endometriosis New Zealand,,,Endometriosis New Zealand (69),40,-28.0,endometriosis-nz,Endometriosis New Zealand,69.0,Endometriosis New Zealand (69)
chronic-myofascial-pain_co-occurrence,community,Chronic Myofascial Pain,,,Chronic Myofascial Pain (53),40,-29.0,chronic-myofascial-pain,Chronic Myofascial Pain,53.0,Chronic Myofascial Pain (53)
living-with-ild_co-occurrence,community,Living with Interstitial Lung Disease (ILD),,,Living with Interstitial Lung Disease (ILD) (49),40,-30.0,living-with-ild,Living with Interstitial Lung Disease (ILD),49.0,Living with Interstitial Lung Disease (ILD) (49)
myelomauk_co-occurrence,community,Myeloma UK,,,Myeloma UK (47),40,-31.0,myelomauk,Myeloma UK,47.0,Myeloma UK (47)
mamafit_co-occurrence,community,Mamafit,,,Mamafit (44),40,-32.0,mamafit,Mamafit,44.0,Mamafit (44)
partnersforbehcets_co-occurrence,community,Partners for Behcet's (Autoimmune),,,Partners for Behcet's (43),40,-33.0,partnersforbehcets,Partners for Behcet's,43.0,Partners for Behcet's (Autoimmune) (43)
downs-support_co-occurrence,community,Down's Syndrome,,,Down's Syndrome Support (43),40,-34.0,downs-support,Down's Syndrome Support,43.0,Down's Syndrome (43)
cancer-journeys-foundation_co-occurrence,community,Cancer Journeys,,,Cancer Journeys Foundation (42),40,-35.0,cancer-journeys-foundation,Cancer Journeys Foundation,42.0,Cancer Journeys (42)
livernorth_co-occurrence,community,LIVErNORTH,,,LIVErNORTH (41),40,-36.0,livernorth,LIVErNORTH,41.0,LIVErNORTH (41)
mydirectives_co-occurrence,community,MyDirectives: Make your medical wishes known!,,,MyDirectives: Make your medical wishes known! (40),40,-37.0,mydirectives,MyDirectives: Make your medical wishes known!,40.0,MyDirectives: Make your medical wishes known! (40)
pseudomyxoma-survivor_co-occurrence,community,Pseudomyxoma Survivor,,,Pseudomyxoma Survivor (40),40,-38.0,pseudomyxoma-survivor,Pseudomyxoma Survivor,40.0,Pseudomyxoma Survivor (40)
cookforyourlife_co-occurrence,community,Cook For Your Life,,,Cook For Your Life (29),40,-39.0,cookforyourlife,Cook For Your Life,29.0,Cook For Your Life (29)
dc-action_co-occurrence,community,Dyskeratosis Congenita (Rare Genetic),,,DC Action (21),40,-40.0,dc-action,DC Action,21.0,Dyskeratosis Congenita (Rare Genetic) (21)
apma_co-occurrence,community,Australian Pain Management Association,,,Australian Pain Management Association (20),40,-41.0,apma,Australian Pain Management Association,20.0,Australian Pain Management Association (20)
crohnscolitis_co-occurrence,community,Crohn's & Colitis,,,Crohn's & Colitis (6),40,-42.0,crohnscolitis,Crohn's & Colitis,6.0,Crohn's & Colitis (6)
barretts-oesophagus_co-occurrence,community,Barrett's Oesophagus,,,Barrett's Oesophagus (5),40,-43.0,barretts-oesophagus,Barrett's Oesophagus,5.0,Barrett's Oesophagus (5)
